session_id,window_id,scenario_id,label,total_events,file_created,file_modified,file_deleted,file_renamed,unique_files_modified,process_events,network_events,established_connections,unique_remote_ips
S_0001,S_0001_W01,N1,0,0,0,0,0,0,0,0,0,0,0
S_0002,S_0002_W01,N1,0,0,0,0,0,0,0,0,0,0,0
S_0003,S_0003_W01,N1,0,0,0,0,0,0,0,0,0,0,0
S_0004,S_0004_W01,N1,0,0,0,0,0,0,0,0,0,0,0
S_0005,S_0005_W01,N1,0,0,0,0,0,0,0,0,0,0,0
S_0006,S_0006_W01,N1,0,0,0,0,0,0,0,0,0,0,0
S_0007,S_0007_W01,N2,0,1,0,1,0,0,1,0,0,0,0
S_0008,S_0008_W01,N2,0,2,0,2,0,0,2,0,0,0,0
S_0009,S_0009_W01,N2,0,3,0,3,0,0,3,0,0,0,0
S_0010,S_0010_W01,N2,0,2,0,2,0,0,2,0,0,0,0
S_0011,S_0011_W01,N2,0,1,0,1,0,0,1,0,0,0,0
S_0012,S_0012_W01,N2,0,3,0,3,0,0,3,0,0,0,0
S_0013,S_0013_W01,N3,0,4,0,4,0,0,4,0,0,0,0
S_0014,S_0014_W01,N3,0,5,0,5,0,0,5,0,0,0,0
S_0015,S_0015_W01,N3,0,6,0,6,0,0,6,0,0,0,0
S_0016,S_0016_W01,N3,0,7,0,7,0,0,7,0,0,0,0
S_0017,S_0017_W01,N3,0,5,0,5,0,0,5,0,0,0,0
S_0018,S_0018_W01,N3,0,4,0,4,0,0,4,0,0,0,0
S_0019,S_0019_W01,N4,0,4,3,0,0,1,0,0,0,0,0
S_0020,S_0020_W01,N4,0,7,4,0,1,2,0,0,0,0,0
S_0021,S_0021_W01,N4,0,9,5,0,1,3,0,0,0,0,0
S_0022,S_0022_W01,N4,0,10,6,0,2,2,0,0,0,0,0
S_0023,S_0023_W01,N4,0,5,3,0,0,2,0,0,0,0,0
S_0024,S_0024_W01,N4,0,7,5,0,1,1,0,0,0,0,0
S_0025,S_0025_W01,N5,0,8,8,0,0,0,0,0,0,0,0
S_0026,S_0026_W01,N5,0,10,10,0,0,0,0,0,0,0,0
S_0027,S_0027_W01,N5,0,12,12,0,0,0,0,0,0,0,0
S_0028,S_0028_W01,N5,0,15,15,0,0,0,0,0,0,0,0
S_0029,S_0029_W01,N5,0,9,9,0,0,0,0,0,0,0,0
S_0030,S_0030_W01,N5,0,11,11,0,0,0,0,0,0,0,0
S_0031,S_0031_W01,N6,0,3,0,0,0,0,0,0,3,3,2
S_0032,S_0032_W01,N6,0,5,0,0,0,0,0,0,5,5,3
S_0033,S_0033_W01,N6,0,7,0,0,0,0,0,0,7,7,4
S_0034,S_0034_W01,N6,0,4,0,0,0,0,0,0,4,4,2
S_0035,S_0035_W01,N6,0,6,0,0,0,0,0,0,6,6,3
S_0036,S_0036_W01,N6,0,8,0,0,0,0,0,0,8,8,5
S_0037,S_0037_W01,N7,0,4,2,0,0,0,0,0,2,2,1
S_0038,S_0038_W01,N7,0,6,3,0,0,0,0,0,3,3,2
S_0039,S_0039_W01,N7,0,8,4,0,0,0,0,0,4,4,2
S_0040,S_0040_W01,N7,0,10,5,0,0,0,0,0,5,5,3
S_0041,S_0041_W01,N7,0,6,3,0,0,0,0,0,3,3,1
S_0042,S_0042_W01,N7,0,8,4,0,0,0,0,0,4,4,2
S_0043,S_0043_W01,N8,0,10,0,10,0,0,1,0,0,0,0
S_0044,S_0044_W01,N8,0,15,0,15,0,0,1,0,0,0,0
S_0045,S_0045_W01,N8,0,20,0,20,0,0,2,0,0,0,0
S_0046,S_0046_W01,N8,0,25,0,25,0,0,1,0,0,0,0
S_0047,S_0047_W01,N8,0,12,0,12,0,0,2,0,0,0,0
S_0048,S_0048_W01,N8,0,18,0,18,0,0,1,0,0,0,0
S_0049,S_0049_W01,N9,0,5,1,3,0,0,3,0,1,1,1
S_0050,S_0050_W01,N9,0,8,2,4,0,0,4,0,2,2,2
S_0051,S_0051_W01,N9,0,11,3,5,0,0,5,0,3,3,2
S_0052,S_0052_W01,N9,0,10,2,6,0,0,6,0,2,2,1
S_0053,S_0053_W01,N9,0,6,1,4,0,0,4,0,1,1,1
S_0054,S_0054_W01,N9,0,9,2,5,0,0,5,0,2,2,1
S_0055,S_0055_W01,N10,0,8,8,0,0,0,0,0,0,0,0
S_0056,S_0056_W01,N10,0,12,12,0,0,0,0,0,0,0,0
S_0057,S_0057_W01,N10,0,15,15,0,0,0,0,0,0,0,0
S_0058,S_0058_W01,N10,0,18,18,0,0,0,0,0,0,0,0
S_0059,S_0059_W01,N10,0,10,10,0,0,0,0,0,0,0,0
S_0060,S_0060_W01,N10,0,14,14,0,0,0,0,0,0,0,0
S_0061,S_0061_W01,R1,1,8,0,8,0,0,8,0,0,0,0
S_0062,S_0062_W01,R1,1,10,0,10,0,0,10,0,0,0,0
S_0063,S_0063_W01,R1,1,12,0,12,0,0,12,0,0,0,0
