total_events,file_created,file_modified,file_deleted,file_renamed,unique_files_modified,process_events,network_events,established_connections,unique_remote_ips,label
3,0,0,0,0,0,2,4,0,0,0
1,0,0,0,0,0,2,2,0,1,0
2,0,1,0,0,0,1,3,1,1,0
1,0,1,0,0,1,0,0,1,1,0
4,0,1,0,0,0,0,2,2,0,0
1,0,1,0,0,1,2,2,2,1,0
0,0,0,0,0,0,2,4,0,0,0
1,0,1,0,0,0,1,1,1,0,0
1,0,0,0,0,1,2,3,2,1,0
4,0,1,0,0,0,2,0,1,1,0
3,0,1,0,0,1,1,1,1,0,0
1,0,1,0,0,1,1,1,1,1,0
3,0,0,0,0,1,0,4,1,0,0
4,0,1,0,0,1,0,3,0,0,0
4,0,0,0,0,0,0,0,2,0,0
0,0,1,0,0,1,2,2,2,0,0
2,0,0,0,0,0,2,4,1,0,0
1,0,0,0,0,1,2,0,1,0,0
4,0,0,0,0,1,1,2,2,0,0
2,0,0,0,0,0,1,2,0,0,0
1,0,0,0,0,0,1,2,0,0,0
1,0,1,0,0,1,0,2,2,1,0
0,0,1,0,0,0,1,4,2,0,0
4,0,0,0,0,0,0,3,0,1,0
2,0,0,0,0,1,1,1,0,1,0
0,0,0,0,0,1,1,2,1,0,0
3,0,0,0,0,0,1,0,0,0,0
2,0,1,0,0,0,0,0,2,0,0
2,0,0,0,0,1,0,0,2,1,0
3,0,1,0,0,0,2,0,0,1,0
0,0,1,0,0,1,1,1,2,0,0
4,0,0,0,0,1,0,2,0,1,0
1,0,1,0,0,1,2,4,0,0,0
2,0,1,0,0,1,0,3,1,1,0
3,0,0,0,0,0,2,0,2,1,0
4,0,1,0,0,1,1,2,2,1,0
0,0,0,0,0,1,2,4,2,1,0
3,0,0,0,0,1,2,1,2,0,0
2,0,1,0,0,1,2,3,0,0,0
1,0,1,0,0,0,2,3,0,0,0
1,0,0,0,0,0,1,1,2,0,0
3,0,1,0,0,1,0,3,0,1,0
0,0,1,0,0,1,0,4,2,0,0
0,0,0,0,0,0,2,2,1,1,0
0,0,1,0,0,1,2,0,1,1,0
3,0,1,0,0,0,1,0,2,0,0
4,0,1,0,0,1,1,1,1,1,0
2,0,1,0,0,0,0,3,0,1,0
0,0,1,0,0,0,2,2,0,1,0
0,0,1,0,0,1,2,2,1,0,0
4,0,0,0,0,1,2,2,1,0,0
0,0,1,0,0,0,0,4,0,1,0
2,0,1,0,0,0,0,0,1,0,0
4,0,1,0,0,0,0,4,0,0,0
4,0,0,0,0,0,0,3,2,0,0
4,0,1,0,0,0,0,2,1,0,0
1,0,0,0,0,1,1,2,1,1,0
1,0,1,0,0,0,1,1,2,0,0
1,0,1,0,0,1,0,0,0,0,0
4,0,1,0,0,0,1,2,1,0,0
4,0,1,0,0,1,2,0,0,1,0
0,0,1,0,0,1,1,3,2,0,0
3,0,1,0,0,1,2,2,0,1,0
4,0,1,0,0,1,1,0,1,1,0
2,0,1,0,0,0,0,4,0,0,0
3,0,1,0,0,0,1,2,2,1,0
3,0,1,0,0,0,1,3,1,1,0
2,0,0,0,0,1,2,2,1,0,0
1,0,0,0,0,1,0,0,0,0,0
1,0,1,0,0,0,2,1,1,1,0
0,0,1,0,0,0,0,0,0,0,0
4,0,1,0,0,0,2,2,1,1,0
2,0,0,0,0,1,0,4,1,1,0
4,0,0,0,0,0,1,3,0,1,0
1,0,1,0,0,1,0,3,0,1,0
4,0,0,0,0,1,1,4,1,1,0
1,0,1,0,0,0,1,0,0,0,0
3,0,1,0,0,1,2,1,0,1,0
2,0,1,0,0,1,1,2,0,0,0
4,0,0,0,0,0,0,3,2,0,0
0,0,1,0,0,1,2,3,0,0,0
3,0,0,0,0,1,1,4,2,1,0
2,0,0,0,0,0,1,4,1,1,0
1,0,1,0,0,1,2,0,2,1,0
1,0,0,0,0,1,0,2,0,1,0
3,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,1,2,0,2,1,0
3,0,1,0,0,0,2,4,0,0,0
4,0,0,0,0,0,2,0,1,0,0
0,0,1,0,0,1,0,4,2,0,0
0,0,1,0,0,1,0,0,2,1,0
0,0,0,0,0,1,1,3,2,1,0
4,0,0,0,0,0,0,3,2,0,0
3,0,0,0,0,0,0,4,0,1,0
1,0,0,0,0,1,2,1,0,0,0
4,0,0,0,0,0,1,3,0,1,0
1,0,1,0,0,0,0,4,1,0,0
1,0,0,0,0,1,1,4,0,0,0
2,0,1,0,0,1,0,0,1,1,0
0,0,0,0,0,0,0,4,1,1,0
33,0,1,0,0,2,3,40,28,12,0
33,0,1,0,0,2,1,35,24,15,0
42,1,1,0,0,0,3,59,41,11,0
15,0,0,0,0,1,1,48,33,19,0
47,1,0,0,0,1,2,34,23,14,0
46,0,0,0,0,2,1,54,37,18,0
25,1,0,0,0,2,3,30,21,17,0
63,1,2,0,0,2,1,50,35,5,0
37,0,2,0,0,1,4,25,17,18,0
52,1,0,0,0,1,4,17,11,6,0
22,1,1,0,0,0,1,35,24,6,0
68,0,0,0,0,0,1,36,25,15,0
62,0,0,0,0,1,3,37,25,8,0
65,1,0,0,0,2,1,27,18,4,0
44,1,2,0,0,0,1,19,13,3,0
32,1,2,0,0,0,3,10,7,19,0
47,1,0,0,0,2,3,22,15,3,0
62,0,1,0,0,0,1,30,21,7,0
17,0,2,0,0,0,1,47,32,7,0
24,0,0,0,0,0,2,19,13,11,0
15,0,0,0,0,0,4,55,38,3,0
54,1,1,0,0,2,4,58,40,9,0
48,1,1,0,0,2,3,35,24,14,0
68,1,0,0,0,1,2,10,7,19,0
61,0,2,0,0,0,1,57,39,16,0
25,0,2,0,0,1,4,11,7,4,0
64,1,1,0,0,1,3,47,32,4,0
47,1,2,0,0,1,3,47,32,12,0
19,0,1,0,0,0,2,26,18,19,0
38,0,1,0,0,1,1,29,20,4,0
57,0,2,0,0,2,3,22,15,18,0
25,1,0,0,0,2,4,40,28,5,0
43,1,1,0,0,0,2,36,25,7,0
42,1,0,0,0,1,1,27,18,8,0
19,0,1,0,0,1,2,10,7,19,0
40,0,2,0,0,0,2,23,16,17,0
61,1,1,0,0,2,3,31,21,18,0
40,1,0,0,0,0,3,26,18,17,0
36,1,1,0,0,2,2,56,39,4,0
40,1,2,0,0,2,3,54,37,5,0
37,1,2,0,0,2,4,56,39,15,0
52,0,2,0,0,2,4,27,18,7,0
24,0,0,0,0,0,3,37,25,14,0
31,0,0,0,0,1,3,34,23,11,0
32,0,2,0,0,1,2,54,37,17,0
54,0,2,0,0,1,1,17,11,7,0
66,1,1,0,0,2,4,15,10,15,0
51,0,0,0,0,0,2,15,10,8,0
69,1,1,0,0,2,2,15,10,11,0
65,0,0,0,0,2,2,12,8,4,0
42,0,2,0,0,1,2,29,20,19,0
52,0,1,0,0,0,2,39,27,17,0
22,1,2,0,0,0,4,20,14,7,0
40,1,2,0,0,0,4,15,10,19,0
61,0,1,0,0,1,4,21,14,8,0
25,0,0,0,0,2,3,46,32,3,0
64,1,1,0,0,0,3,15,10,12,0
16,0,1,0,0,0,3,53,37,7,0
31,0,2,0,0,2,4,18,12,8,0
44,0,0,0,0,0,2,44,30,14,0
28,0,2,0,0,0,2,59,41,14,0
49,0,1,0,0,0,4,44,30,13,0
51,1,1,0,0,2,1,50,35,7,0
33,0,1,0,0,1,2,14,9,6,0
59,1,0,0,0,1,4,34,23,10,0
54,1,2,0,0,0,2,48,33,3,0
29,0,0,0,0,0,1,32,22,17,0
28,0,2,0,0,2,3,11,7,8,0
17,0,2,0,0,1,4,15,10,17,0
43,0,1,0,0,2,3,56,39,6,0
52,0,0,0,0,0,1,38,26,3,0
36,1,1,0,0,0,3,13,9,12,0
68,1,0,0,0,2,3,42,29,6,0
38,1,2,0,0,0,4,54,37,7,0
61,1,0,0,0,1,3,38,26,6,0
40,0,2,0,0,0,4,45,31,13,0
54,1,1,0,0,2,3,19,13,16,0
26,1,0,0,0,1,2,52,36,3,0
54,1,2,0,0,0,4,56,39,7,0
56,0,2,0,0,1,1,17,11,16,0
20,2,2,0,0,2,6,5,2,2,0
10,2,5,1,0,3,4,8,3,1,0
18,1,2,1,0,1,6,9,3,3,0
